分类,名称 / 机构,主要数据内容与适用场景,API 类型与接入方式,是否需要认证 / 典型限制,官方入口与文档,真实性,知识案例
文本,WHO GHO OData API & Athena API（世界卫生组织）,全球健康统计数据（GHO）：传染病、慢病、死亡率、卫生服务覆盖等 >1000 个健康指标；适合：流行病学、公共卫生指标、国家/地区健康趋势问答,OData API：标准 OData 协议的 HTTP 接口，支持 JSON/CSV 等<br>Athena API：简单 HTTP 查询接口，返回结构化数据,免费，需遵循 WHO 数据使用政策；通常无需专用 Key，但建议遵守合理请求频率,GHO OData：https://www.who.int/data/gho/info/gho-odata-api<br>Athena：https://www.who.int/data/gho/info/athena-api<br>示例：https://www.who.int/data/gho/info/athena-api-examples,是,"WHO GHO示例 - HIV新感染数据: 国家=PLW, 年份=2019, 数值=None"
文本,NCBI Entrez Programming Utilities（E‑utilities）/ PubMed / PMC / Gene / Protein / Nuccore 等数据库,生物医学文献题录与摘要（PubMed）、开放获取全文（PMC）、基因/蛋白/序列等分子生物学数据；适合做高质量文献问答、循证医学证据检索、学术综述辅助。,REST 风格 HTTP GET；URL 语法固定，可返回 XML/JSON,不需要 API Key，但有速率限制（官方建议 ≤3 请求/秒，需要填写合理的 tool/email 参数）,官方总览：https://www.ncbi.nlm.nih.gov/home/develop/api/<br>E‑utilities 详解：https://www.ncbi.nlm.nih.gov/books/NBK25497/,是,"PubMed示例 - PMID:41482705, 标题: The Impact of the COVID-19 Pandemic on HPV Vaccination Coverage Among Adolescents From High-Income C..."
文本,ClinicalTrials.gov v2 API（美国 NLM）,全球临床试验注册信息：研究设计、入排标准、结局指标、结果摘要等；适合：临床试验相关问答、对照试验证据检索,REST API；主接口 https://clinicaltrials.gov/api/v2/studies（GET），返回 JSON；有 OpenAPI 规范（v2 OAS）,免费公开，需遵守使用政策和频率限制（具体见官方迁移指南与 API 文档）,API 介绍与迁移指南：https://www.nlm.nih.gov/pubs/techbull/ma24/ma24_clinicaltrials_api.html<br>接口示例说明：https://biomcp.org/backend-services-reference/04-clinicaltrials-gov/,是,ClinicalTrials示例 - NCT01569841: A Trial Comparing the Efficacy of Insulin Degludec With Insulin Glargine on Glyc...
文本,openFDA（美国 FDA）,药品标签（label）、不良反应事件报告、执法与召回信息；器械、食品、烟草等相关数据；适合：药品安全性、监管信息、说明书问答,基于 Elasticsearch 的 REST API；返回 JSON；有多个 endpoint，如 /drug/label、/drug/enforcement、/device/enforcement 等,免费，但官方有调用频率限制（见文档）；无需注册即可基础使用,官方首页：https://open.fda.gov<br>API 概览与端点说明：https://open.fda.gov/apis/,待定,"openFDA示例 - 药品: Naproxen, 用途: N/A..."
文本,BioPortal REST API（美国 NCBO）,医学术语与本体库（SNOMED CT、LOINC、MeSH、ICD 等）：概念、层级、属性、映射；适合：术语标准化、概念对齐、本体增强型 RAG,REST API（HTTP GET）；可遍历本体、类、关系等，返回 JSON；支持 SPARQL endpoint,需要 API Key（需在 BioPortal 申请）；部分本体有额外许可（如 SNOMED CT 需单独许可）,API 文档：https://data.bioontology.org/documentation<br>帮助页：https://www.bioontology.org/wiki/BioPortal_Help,是,需要API Key - 可查询SNOMED CT、ICD、MeSH等医学本体概念与映射关系
文本,MedQA（USMLE 风格问答）/ BigBio,美国执业医师考试（USMLE）风格的选择题问答数据集，包含题目、选项、答案及解析；适合做医学考试训练、医学推理评测、QA-pair 检索库,数据托管在 **Hugging Face Datasets**；使用 Python `datasets` 库直接加载（`bigbio/med_qa`）；也可以直接下载 JSON/CSV 文件。,免费；遵循数据集许可（通常为 CC BY-SA 或类似许可），仅限研究/教育用途,Hugging Face 数据集页：https://huggingface.co/datasets/bigbio/med_qa,待定,"Hugging Face数据集 - 包含USMLE风格医学问答，如：'哪种药物可用于治疗社区获得性肺炎？' 选项:A.阿莫西林, B.万古霉素..."
文本,Europe PMC,生命科学与 biomedical 领域的全文文献及专利；适合做跨地区文献检索、开放科学数据挖掘、文献中的实体注释查询。, **Articles RESTful API**：支持按关键词查询、获取全文元数据、全文文本及注释；**Annotations API**：获取文献中的基因/蛋白质/化学实体标注。,免费；无需 API Key（但在生产环境中建议注册以便监控）；使用需遵循 Europe PMC 的使用条款,REST API 文档：https://europepmc.org/RestfulWebService<br>Annotations API 介绍：https://europepmc.org/AnnotationsApi,是,"Europe PMC示例 - PMID:41342823, 标题: Occupational hazards in cardiac electrophysiology: Insights from an HRS member s..."
文本,European Medicines Agency（EMA）Open Data / API（欧盟）,欧盟药品数据：上市授权信息、欧洲公众评估报告（EPAR）、政策文件、统计数据、药物警戒数据等；适合：跨地区监管信息对比、EMA 评估报告问答,欧盟数据门户上通过“EMA open data”数据集提供服务；提供 CSV/JSON/XML 下载及 API 访问，官方 API 在欧盟 API Store 上列出,免费，数据遵循欧盟开放数据许可；具体 API 需在 EU API Store 上申请/注册（按不同 endpoint 规则）,EU API Store 介绍页：https://api.store/eu-institutions-api/european-medicines-agency-api,是,需EU API Store申请 - 提供欧盟药品上市授权、EPAR评估报告等数据
文本,NHS England APIs / NHS website developer portal（英国 NHS）,NHS 网站上的健康内容（疾病与症状、药品信息、服务目录等）、部分临床相关服务接口；适合：英文环境下“患者向”健康内容问答、服务信息检索,RESTful / FHIR 等 APIs；通过 NHS Developer Portal 提供目录和密钥管理（含部分用于内容分发 / API 集成）,需要注册开发者账号并申请 API Key；具体限制见每个 API 文档（如调用频率、用途范围）,API 目录：https://digital.nhs.uk/developer/api-catalogue<br>开发者门户：https://developer.api.nhs.uk/nhs-api,是,需NHS开发者账号 - 提供NHS健康内容、疾病症状、药品信息、服务目录等
文本,NCBI BLAST URL API & PubChem PUG（补充）,BLAST：序列比对；PubChem：化合物与生物活性数据；适合做专业分子生物学/化学增强型 RAG,BLAST：HTTP 提交任务 + 轮询结果；PubChem PUG：HTTP/REST/SOAP 多种接口,免费，遵循 NCBI 使用政策；建议合理频率和并发,在同一 NCBI API 页面列入口：https://www.ncbi.nlm.nih.gov/home/develop/api/,是,"PubChem示例 - 阿司匹林: 分子式=C9H8O4, 分子量=180.16"
