分类,名称 / 机构,主要数据内容与适用场景,API 类型与接入方式,是否需要认证 / 典型限制,官方入口与文档,真实性,知识案例
文本,WHO GHO OData API & Athena API（世界卫生组织）,全球健康统计数据（GHO）：传染病、慢病、死亡率、卫生服务覆盖等 >1000 个健康指标；适合：流行病学、公共卫生指标、国家/地区健康趋势问答,OData API：标准 OData 协议的 HTTP 接口，支持 JSON/CSV 等<br>Athena API：简单 HTTP 查询接口，返回结构化数据,免费，需遵循 WHO 数据使用政策；通常无需专用 Key，但建议遵守合理请求频率,GHO OData：https://www.who.int/data/gho/info/gho-odata-api<br>Athena：https://www.who.int/data/gho/info/athena-api<br>示例：https://www.who.int/data/gho/info/athena-api-examples,是,调用失败: Expecting value: line 1 column 2 (char 1)
文本,NCBI Entrez Programming Utilities（E‑utilities）/ PubMed / PMC / Gene / Protein / Nuccore 等数据库,生物医学文献题录与摘要（PubMed）、开放获取全文（PMC）、基因/蛋白/序列等分子生物学数据；适合做高质量文献问答、循证医学证据检索、学术综述辅助。,REST 风格 HTTP GET；URL 语法固定，可返回 XML/JSON,不需要 API Key，但有速率限制（官方建议 ≤3 请求/秒，需要填写合理的 tool/email 参数）,官方总览：https://www.ncbi.nlm.nih.gov/home/develop/api/<br>E‑utilities 详解：https://www.ncbi.nlm.nih.gov/books/NBK25497/,是,"【PubMed 医学文献】
PMID: 39556629
标题: Diabetic Ketoacidosis: Evaluation and Treatment.
期刊: American family physician
年份: 2024
作者: Veauthier Brian, Levy-Grau Blaine
摘要: Diabetic ketoacidosis (DKA) is a life-threatening complication of type 1 and type 2 diabetes resulting from an absolute or relative insulin deficiency. It can occur in patients of all ages and can be the initial presentation of diabetes, especially in young children. Polyuria and polydipsia are the most common symptoms, followed by nausea, vomiting, abdominal pain, weight loss, severe fatigue, dyspnea, and preceding febrile illness. Traditionally, DKA has been diagnosed by the triad of hyperglyc...
链接: https://pubmed.ncbi.nlm.nih.gov/39556629/"
文本,ClinicalTrials.gov v2 API（美国 NLM）,全球临床试验注册信息：研究设计、入排标准、结局指标、结果摘要等；适合：临床试验相关问答、对照试验证据检索,REST API；主接口 https://clinicaltrials.gov/api/v2/studies（GET），返回 JSON；有 OpenAPI 规范（v2 OAS）,免费公开，需遵守使用政策和频率限制（具体见官方迁移指南与 API 文档）,API 介绍与迁移指南：https://www.nlm.nih.gov/pubs/techbull/ma24/ma24_clinicaltrials_api.html<br>接口示例说明：https://biomcp.org/backend-services-reference/04-clinicaltrials-gov/,是,API调用成功但无数据返回
文本,openFDA（美国 FDA）,药品标签（label）、不良反应事件报告、执法与召回信息；器械、食品、烟草等相关数据；适合：药品安全性、监管信息、说明书问答,基于 Elasticsearch 的 REST API；返回 JSON；有多个 endpoint，如 /drug/label、/drug/enforcement、/device/enforcement 等,免费，但官方有调用频率限制（见文档）；无需注册即可基础使用,官方首页：https://open.fda.gov<br>API 概览与端点说明：https://open.fda.gov/apis/,待定,"【openFDA 药品说明书】
品牌名: Low Dose Aspirin
通用名: ASPIRIN
生产商: P & L Development, LLC
给药途径: ORAL
产品类型: HUMAN OTC DRUG
用途: Purpose Pain reliever
适应症: Uses for the temporary relief of minor aches and pains or as recommended by your doctor. Because of its delayed action, this product will not provide fast relief of headaches or other symptoms needing immediate relief. ask your doctor about other uses for safety coated 81 mg aspirin...
警告: Warnings Reye's syndrome : Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. When using this product, if changes in behavior with nausea and vomiting occur, consult a doctor because these symptoms could be an early sign of Reye's syn...
用法用量: Directions drink a full glass of water with each dose adults and children 12 years and over: take 4 to 8 tablets every 4 hours not to exceed 48 tablets in 24 hours unless directed by a doctor children...
数据来源: 美国FDA药品标签数据库"
文本,BioPortal REST API（美国 NCBO）,医学术语与本体库（SNOMED CT、LOINC、MeSH、ICD 等）：概念、层级、属性、映射；适合：术语标准化、概念对齐、本体增强型 RAG,REST API（HTTP GET）；可遍历本体、类、关系等，返回 JSON；支持 SPARQL endpoint,需要 API Key（需在 BioPortal 申请）；部分本体有额外许可（如 SNOMED CT 需单独许可）,API 文档：https://data.bioontology.org/documentation<br>帮助页：https://www.bioontology.org/wiki/BioPortal_Help,是,"【BioPortal 医学本体】
说明: 需要申请API Key才能访问
功能: 查询SNOMED CT、ICD-10、MeSH、LOINC等医学术语本体
示例查询: 获取""糖尿病""在不同编码系统中的映射
- SNOMED CT: 73211009 (Diabetes mellitus)
- ICD-10: E10-E14 (Diabetes mellitus)
- MeSH: D003920 (Diabetes Mellitus)
申请地址: https://bioportal.bioontology.org/account"
文本,MedQA（USMLE 风格问答）/ BigBio,美国执业医师考试（USMLE）风格的选择题问答数据集，包含题目、选项、答案及解析；适合做医学考试训练、医学推理评测、QA-pair 检索库,数据托管在 **Hugging Face Datasets**；使用 Python `datasets` 库直接加载（`bigbio/med_qa`）；也可以直接下载 JSON/CSV 文件。,免费；遵循数据集许可（通常为 CC BY-SA 或类似许可），仅限研究/教育用途,Hugging Face 数据集页：https://huggingface.co/datasets/bigbio/med_qa,待定,"【MedQA 医学问答数据集】
数据来源: Hugging Face Datasets (bigbio/med_qa)
数据规模: 约12,723条USMLE风格问答

示例问答:
问题: 一位45岁男性患者因持续性胸痛就诊，心电图显示ST段抬高，肌钙蛋白I升高。最可能的诊断是什么？
A. 不稳定型心绞痛
B. 稳定型心绞痛
C. 急性心肌梗死
D. 心包炎
答案: C. 急性心肌梗死
解析: ST段抬高和心肌标志物(肌钙蛋白)升高是急性ST段抬高型心肌梗死(STEMI)的典型表现。

加载方式: from datasets import load_dataset; dataset = load_dataset(""bigbio/med_qa"")"
文本,Europe PMC,生命科学与 biomedical 领域的全文文献及专利；适合做跨地区文献检索、开放科学数据挖掘、文献中的实体注释查询。, **Articles RESTful API**：支持按关键词查询、获取全文元数据、全文文本及注释；**Annotations API**：获取文献中的基因/蛋白质/化学实体标注。,免费；无需 API Key（但在生产环境中建议注册以便监控）；使用需遵循 Europe PMC 的使用条款,REST API 文档：https://europepmc.org/RestfulWebService<br>Annotations API 介绍：https://europepmc.org/AnnotationsApi,是,"【Europe PMC 开放获取文献】
PMID: 41303327
PMCID: PMC12652641
DOI: 10.3390/ijms262210839
标题: Special Issue ""Molecular Advances in Cancer Immunotherapy"".
作者: Schaft N....
期刊: N/A
年份: 2025
被引次数: 0
摘要: Cancer immunotherapy is defined as a type of cancer treatment that helps the immune system recognize and attack cancer cells more effectively [...]....
全文链接: https://europepmc.org/article/PMC/PMC12652641"
文本,European Medicines Agency（EMA）Open Data / API（欧盟）,欧盟药品数据：上市授权信息、欧洲公众评估报告（EPAR）、政策文件、统计数据、药物警戒数据等；适合：跨地区监管信息对比、EMA 评估报告问答,欧盟数据门户上通过“EMA open data”数据集提供服务；提供 CSV/JSON/XML 下载及 API 访问，官方 API 在欧盟 API Store 上列出,免费，数据遵循欧盟开放数据许可；具体 API 需在 EU API Store 上申请/注册（按不同 endpoint 规则）,EU API Store 介绍页：https://api.store/eu-institutions-api/european-medicines-agency-api,是,"【EMA 欧盟药品管理局】
说明: 需要在EU API Store申请访问权限
数据内容:
- 药品上市授权(Marketing Authorization)信息
- 欧洲公众评估报告(EPAR)
- 药物警戒数据
- 临床试验结果数据

示例数据(可通过数据下载获取):
产品名: Keytruda (pembrolizumab)
适应症: 黑色素瘤、非小细胞肺癌等
授权日期: 2015-07-17
申请方: Merck Sharp & Dohme B.V.
申请地址: https://api.store/eu-institutions-api/european-medicines-agency-api"
文本,NHS England APIs / NHS website developer portal（英国 NHS）,NHS 网站上的健康内容（疾病与症状、药品信息、服务目录等）、部分临床相关服务接口；适合：英文环境下“患者向”健康内容问答、服务信息检索,RESTful / FHIR 等 APIs；通过 NHS Developer Portal 提供目录和密钥管理（含部分用于内容分发 / API 集成）,需要注册开发者账号并申请 API Key；具体限制见每个 API 文档（如调用频率、用途范围）,API 目录：https://digital.nhs.uk/developer/api-catalogue<br>开发者门户：https://developer.api.nhs.uk/nhs-api,是,"【NHS England APIs】
说明: 需要注册NHS Developer账号并申请API Key
提供的服务:
1. NHS Service Search API - 搜索NHS服务位置
2. NHS Conditions API - 疾病与症状信息
3. NHS Medicines API - 药品信息
4. NHS Organisation Data API - 医疗机构数据

示例(NHS Conditions内容):
疾病: Type 2 diabetes
症状: 尿频、口渴、疲劳、视力模糊
治疗: 饮食控制、运动、二甲双胍等药物
预防: 健康饮食、定期运动、保持健康体重

申请地址: https://developer.api.nhs.uk/nhs-api"
文本,NCBI BLAST URL API & PubChem PUG（补充）,BLAST：序列比对；PubChem：化合物与生物活性数据；适合做专业分子生物学/化学增强型 RAG,BLAST：HTTP 提交任务 + 轮询结果；PubChem PUG：HTTP/REST/SOAP 多种接口,免费，遵循 NCBI 使用政策；建议合理频率和并发,在同一 NCBI API 页面列入口：https://www.ncbi.nlm.nih.gov/home/develop/api/,是,"【PubChem 化合物数据库】
化合物: Aspirin (阿司匹林)
CID: 2244
分子式: C9H8O4
分子量: 180.16 g/mol
IUPAC名称: 2-acetyloxybenzoic acid
SMILES: N/A
InChI: InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)
同义词: aspirin, ACETYLSALICYLIC ACID, 50-78-2, 2-Acetoxybenzoic acid, 2-(Acetyloxy)benzoic acid
药理作用: 非甾体抗炎药(NSAID)，抑制环氧合酶(COX)
临床用途: 解热镇痛、抗血小板聚集
链接: https://pubchem.ncbi.nlm.nih.gov/compound/2244"
文本,国家卫生健康委（NHC）及卫生健康标准网,国家层面的卫生健康政策文件、标准规范（诊疗规范、诊断标准、操作规范等）；适合做权威政策、标准解读类问答，以及在 RAG 中作为“规范依据”引用来源。,无公开在线 API；以 HTML/PDF 文档形式发布，需要通过爬虫或手动下载，进行本地切片和向量化。,网站内容公开可访问，但受版权/使用条款限制；大规模对外提供检索服务前需确认合规；注意遵守 robots.txt。,国家卫健委官网：http://www.nhc.gov.cn<br>卫生健康标准网：https://wsbz.nhc.gov.cn,是,"【国家卫生健康委员会】
说明: 无公开API，需通过爬取获取数据

可获取内容:
1. 诊疗规范与指南
   示例: 《新型冠状病毒感染诊疗方案》
   内容: 病原学、流行病学、临床表现、诊断标准、治疗方案

2. 卫生健康标准
   示例: WS/T 666-2019 《人群叶酸状况适宜评价》
   内容: 检测方法、参考值范围、质量控制

3. 政策法规
   示例: 《医疗机构管理条例》
   
数据获取方式: 
- 官网爬取: http://www.nhc.gov.cn
- 标准网下载: https://wsbz.nhc.gov.cn"
